CVE ID,Vulnerability Type(s),Score
CVE-2018-1000617,DoS,5.0
CVE-2018-1000616,,7.5
CVE-2018-1000615,DoS,5.0
CVE-2018-1000614,,7.5
CVE-2018-1000613,Exec Code,7.5
CVE-2018-1000611,XSS,4.3
CVE-2018-1000610, +Info,4.0
CVE-2018-1000609, +Info,4.0
CVE-2018-1000608,,4.0
CVE-2018-1000607,,4.0
CVE-2018-1000606,,4.0
CVE-2018-1000605,,5.8
CVE-2018-1000604,XSS,3.5
CVE-2018-1000603, +Info,4.0
CVE-2018-1000602,,4.3
CVE-2018-1000601, +Info,4.0
CVE-2018-1000600, +Info,4.3
CVE-2018-1000559,XSS,4.3
CVE-2018-1000558,Sql,4.0
CVE-2018-1000557,Exec Code XSS,4.3
CVE-2018-1000556,XSS,4.3
CVE-2018-1000554,,5.0
CVE-2018-1000553,,6.5
CVE-2018-1000552,Sql,6.5
CVE-2018-1000551,Bypass,6.5
CVE-2018-1000550,Dir. Trav.,7.5
CVE-2018-1000549, +Info,5.0
CVE-2018-1000548,DoS,6.8
CVE-2018-1000547,,5.0
CVE-2018-1000546,Exec Code,6.8
CVE-2018-1000544,Dir. Trav.,7.5
CVE-2018-1000543,Exec Code XSS,4.3
CVE-2018-1000542,Exec Code,6.8
CVE-2018-1000540,DoS,6.8
CVE-2018-1000539,,5.0
CVE-2018-1000538,DoS,5.0
CVE-2018-1000537,Exec Code Overflow,7.5
CVE-2018-1000536,Exec Code XSS,4.3
CVE-2018-1000535, +Info,5.0
CVE-2018-1000534,Exec Code XSS,4.3
CVE-2018-1000533,Exec Code,7.5
CVE-2018-1000532,Dir. Trav.,1.9
CVE-2018-1000531,,5.0
CVE-2018-1000529,XSS,4.3
CVE-2018-1000528,XSS,4.3
CVE-2018-1000527,Exec Code,6.5
CVE-2018-1000526,DoS,5.0
CVE-2018-1000525,Exec Code,7.5
CVE-2018-1000524,DoS Overflow,4.3
CVE-2018-1000523,,5.8
CVE-2018-1000521,XSS,4.3
CVE-2018-1000520,,5.0
CVE-2018-1000519,,4.3
CVE-2018-1000518,DoS,5.0
CVE-2018-1000517,Overflow,7.5
CVE-2018-1000516,Exec Code XSS,4.3
CVE-2018-1000515,,5.0
CVE-2018-1000514,CSRF,4.3
CVE-2018-1000513,Exec Code XSS,3.5
CVE-2018-1000512,XSS,4.3
CVE-2018-1000511,,5.5
CVE-2018-1000510,DoS CSRF,4.0
CVE-2018-1000509,Exec Code,6.5
CVE-2018-1000508,XSS,3.5
CVE-2018-1000507,CSRF,4.3
CVE-2018-1000506,CSRF,6.8
CVE-2018-1000505,CSRF,4.3
CVE-2018-1000504,File Inclusion,9.0
CVE-2018-1000503,,4.0
CVE-2018-1000502,File Inclusion,6.5
CVE-2018-1000501,,7.5
CVE-2018-1000500,Exec Code,6.8
CVE-2018-1000404,,2.1
CVE-2018-1000403,,2.1
CVE-2018-1000402, +Info,5.0
CVE-2018-1000401,,2.1
CVE-2018-1000400,,6.5
CVE-2018-1000301,DoS,6.4
CVE-2018-1000300,DoS Overflow,7.5
CVE-2018-1000226,,7.5
CVE-2018-1000225,XSS,4.3
CVE-2018-1000224,Overflow,5.0
CVE-2018-1000223,Exec Code Overflow,6.8
CVE-2018-1000222,Exec Code,6.8
CVE-2018-1000221,Overflow,7.5
CVE-2018-1000219,XSS,3.5
CVE-2018-1000218,XSS,3.5
CVE-2018-1000217,,7.5
CVE-2018-1000216,,6.8
CVE-2018-1000215,DoS,5.0
CVE-2018-1000211,,5.0
CVE-2018-1000210,Exec Code,6.8
CVE-2018-1000209,Exec Code,6.5
CVE-2018-1000208,Dir. Trav.,6.4
CVE-2018-1000207,,6.5
CVE-2018-1000206,CSRF,6.8
CVE-2018-1000205,Bypass,4.3
CVE-2018-1000204,,6.3
CVE-2018-1000203,,5.0
CVE-2018-1000202,XSS,3.5
CVE-2018-1000201,,6.8
CVE-2018-1000200,,4.9
CVE-2018-1000199,Exec Code Overflow Mem. Corr.,4.9
CVE-2018-1000198,,4.0
CVE-2018-1000197,,5.5
CVE-2018-1000196, +Info,4.0
CVE-2018-1000195,,4.3
CVE-2018-1000194,Dir. Trav. Bypass,5.5
CVE-2018-1000193,,4.0
CVE-2018-1000192,,4.0
CVE-2018-1000191, +Info,4.0
CVE-2018-1000190, +Info,4.0
CVE-2018-1000189,Exec Code,6.5
CVE-2018-1000188,,5.5
CVE-2018-1000187, +Info,4.0
CVE-2018-1000186, +Info,4.0
CVE-2018-1000185,,4.0
CVE-2018-1000184,,5.5
CVE-2018-1000183, +Info,4.0
CVE-2018-1000182,,5.5
CVE-2018-1000181, +Info,5.0
CVE-2018-1000180,,5.0
CVE-2018-1000179,DoS,5.0
CVE-2018-1000178,Exec Code,7.5
CVE-2018-1000177,XSS,3.5
CVE-2018-1000176, +Info,4.0
CVE-2018-1000175,Dir. Trav.,4.0
CVE-2018-1000174,,5.8
CVE-2018-1000173,,4.3
CVE-2018-1000172,XSS,3.5
CVE-2018-1000170,XSS,3.5
CVE-2018-1000169, +Info,5.0
CVE-2018-1000168,DoS,5.0
CVE-2018-1000167,Exec Code,9.3
CVE-2018-1000165,,5.0
CVE-2018-1000164,,5.0
CVE-2018-1000163,XSS,4.3
CVE-2018-1000162,Exec Code XSS,4.3
CVE-2018-1000161,Dir. Trav.,3.5
CVE-2018-1000160,XSS,4.3
CVE-2018-1000159,,4.3
CVE-2018-1000158,,4.3
CVE-2018-1000156,Exec Code,6.8
CVE-2018-1000155,DoS,7.5
CVE-2018-1000154,Exec Code XSS,4.3
CVE-2018-1000153,DoS CSRF,6.8
CVE-2018-1000152,DoS,6.5
CVE-2018-1000151,,6.8
CVE-2018-1000150, +Info,2.1
CVE-2018-1000149,,6.8
CVE-2018-1000148, +Info,4.0
CVE-2018-1000147, +Info,4.0
CVE-2018-1000146,Exec Code,6.5
CVE-2018-1000145, +Info,5.0
CVE-2018-1000144,XSS,4.3
CVE-2018-1000143, +Info,2.1
CVE-2018-1000142, +Info,2.1
CVE-2018-1000141,,7.5
CVE-2018-1000140,Exec Code Overflow,7.5
CVE-2018-1000139,XSS,4.3
CVE-2018-1000138,,6.4
CVE-2018-1000137,CSRF,6.8
CVE-2018-1000136,Exec Code,6.8
CVE-2018-1000135, +Info,5.0
CVE-2018-1000134,,7.5
CVE-2018-1000133, +Info,6.0
CVE-2018-1000132,,6.4
CVE-2018-1000131,Sql,7.5
CVE-2018-1000130,,6.8
CVE-2018-1000129,XSS,4.3
CVE-2018-1000128,Exec Code Overflow,0.0
CVE-2018-1000127,Overflow,5.0
CVE-2018-1000126, +Info,5.0
CVE-2018-1000125,,7.5
CVE-2018-1000124,,7.5
CVE-2018-1000123, +Info,5.0
CVE-2018-1000122,DoS +Info,6.4
CVE-2018-1000121,DoS,5.0
CVE-2018-1000120,DoS Overflow,7.5
CVE-2018-1000119,CSRF,4.3
CVE-2018-1000118,Exec Code Bypass,9.3
CVE-2018-1000117,Exec Code Overflow,7.2
CVE-2018-1000116,Exec Code,7.5
CVE-2018-1000115,DoS,5.0
CVE-2018-1000114,,4.0
CVE-2018-1000113,XSS,3.5
CVE-2018-1000112,,5.0
CVE-2018-1000111,,5.0
CVE-2018-1000110,,5.0
CVE-2018-1000109,,4.0
CVE-2018-1000108,XSS,4.3
CVE-2018-1000107,,4.0
CVE-2018-1000106,,5.5
CVE-2018-1000105,,4.0
CVE-2018-1000104,,2.1
CVE-2018-1000101,,7.5
CVE-2018-1000100,Overflow,6.8
CVE-2018-1000099,,5.0
CVE-2018-1000098,Overflow,5.0
CVE-2018-1000097,Exec Code Overflow,6.8
CVE-2018-1000096,,6.8
CVE-2018-1000095,XSS,3.5
CVE-2018-1000094,Exec Code,6.5
CVE-2018-1000093,Exec Code,6.8
CVE-2018-1000092,CSRF,6.8
CVE-2018-1000091,Exec Code Overflow,6.5
CVE-2018-1000090,DoS,7.8
CVE-2018-1000089,,4.3
CVE-2018-1000088,XSS,4.3
CVE-2018-1000087,XSS,3.5
CVE-2018-1000086,Exec Code CSRF,6.8
CVE-2018-1000085,,4.3
CVE-2018-1000084,XSS,3.5
CVE-2018-1000083,Dir. Trav.,5.0
CVE-2018-1000082,Exec Code CSRF,6.8
CVE-2018-1000081,,5.0
CVE-2018-1000080,,4.0
CVE-2018-1000079,Dir. Trav.,4.3
CVE-2018-1000078,XSS,4.3
CVE-2018-1000077,,5.0
CVE-2018-1000076,,7.5
CVE-2018-1000075,,5.0
CVE-2018-1000074,Exec Code,6.8
CVE-2018-1000073,Dir. Trav.,5.0
CVE-2018-1000072,,5.0
CVE-2018-1000071,,5.0
CVE-2018-1000070,Exec Code,6.8
CVE-2018-1000069,,4.3
CVE-2018-1000068,#NAME?,5.0
CVE-2018-1000067,,5.0
CVE-2018-1000062,XSS,3.5
CVE-2018-1000061,Bypass,7.5
CVE-2018-1000060,,5.0
CVE-2018-1000059,Exec Code,7.5
CVE-2018-1000058,Exec Code,6.5
CVE-2018-1000057,,4.0
CVE-2018-1000056,,6.5
CVE-2018-1000055,,6.5
CVE-2018-1000054,,6.5
CVE-2018-1000053,CSRF,6.8
CVE-2018-1000052,DoS Mem. Corr.,5.0
CVE-2018-1000051,Exec Code,6.8
CVE-2018-1000050,DoS Overflow Mem. Corr.,6.8
CVE-2018-1000049,Exec Code,6.0
CVE-2018-1000048,Exec Code,6.8
CVE-2018-1000047,Exec Code,6.8
CVE-2018-1000046,Exec Code,6.8
CVE-2018-1000045,Exec Code,6.8
CVE-2018-1000044,Exec Code Sql,7.5
CVE-2018-1000043,Exec Code,10.0
CVE-2018-1000042,Exec Code,10.0
CVE-2018-1000041,,4.3
CVE-2018-1000040,DoS,4.3
CVE-2018-1000039,DoS Exec Code,6.8
CVE-2018-1000038,Exec Code Overflow,6.8
CVE-2018-1000037,DoS,4.3
CVE-2018-1000036,DoS,4.3
CVE-2018-1000035,DoS Exec Code Overflow,6.8
CVE-2018-1000034,DoS,6.4
CVE-2018-1000033,DoS,6.4
CVE-2018-1000032,DoS Exec Code Overflow,6.8
CVE-2018-1000031,DoS Exec Code Overflow,6.8
CVE-2018-1000030,Overflow Mem. Corr.,3.3
CVE-2018-1000029,XSS,4.3
CVE-2018-1000028,,5.8
CVE-2018-1000027,DoS,5.0
CVE-2018-1000026,,6.8
CVE-2018-1000025,,6.8
CVE-2018-1000024,DoS,5.0
CVE-2018-1000023,,5.0
CVE-2018-1000022,,2.6
CVE-2018-1000021,,6.8
CVE-2018-1000020,XSS,4.3
CVE-2018-1000019,,9.0
CVE-2018-1000018,,2.1
CVE-2018-1000016,XSS,0.0
CVE-2018-1000015,,4.9
CVE-2018-1000014,CSRF,6.8
CVE-2018-1000013,CSRF,6.8
CVE-2018-1000012,,6.5
CVE-2018-1000011,,6.5
CVE-2018-1000010,,6.5
CVE-2018-1000009,,6.5
CVE-2018-1000008,,6.5
CVE-2018-1000007, +Info,5.0
CVE-2018-1000006,Exec Code,9.3
CVE-2018-1000005,,6.4
CVE-2018-1000004,DoS,7.1
CVE-2018-1000003,,4.3
CVE-2018-1000002,,4.3
CVE-2018-1000001,Exec Code,7.2
CVE-2018-20623,,4.3
CVE-2018-20622,,4.3
CVE-2018-20618,,6.8
CVE-2018-20617,Overflow,6.8
CVE-2018-20616,Overflow,6.8
CVE-2018-20614,,5.0
CVE-2018-20613,CSRF,6.8
CVE-2018-20612,CSRF,6.8
CVE-2018-20611,XSS,4.3
CVE-2018-20610,Dir. Trav.,4.0
CVE-2018-20609, +Info,5.0
CVE-2018-20608, +Info,5.0
CVE-2018-20607, +Info,5.0
CVE-2018-20606, +Info,5.0
CVE-2018-20605,Exec Code,7.5
CVE-2018-20604,Dir. Trav.,4.0
CVE-2018-20603,CSRF,6.8
CVE-2018-20602, +Info,5.0
CVE-2018-20601,XSS,3.5
CVE-2018-20600,XSS,4.3
CVE-2018-20599,Exec Code,6.5
CVE-2018-20598,CSRF,6.8
CVE-2018-20597,XSS,3.5
CVE-2018-20596,,7.5
CVE-2018-20595,CSRF,6.8
CVE-2018-20594,XSS,4.3
CVE-2018-20593,Overflow,4.3
CVE-2018-20592,,4.3
CVE-2018-20591,,4.3
CVE-2018-20590,XSS,3.5
CVE-2018-20589,XSS,3.5
CVE-2018-20588,,4.3
CVE-2018-20584,DoS,4.3
CVE-2018-20583,XSS,4.3
CVE-2018-20579,Overflow,3.6
CVE-2018-20578,,5.0
CVE-2018-20577,CSRF,9.4
CVE-2018-20576,CSRF,5.8
CVE-2018-20575,,5.0
CVE-2018-20574,DoS Overflow,4.3
CVE-2018-20573,DoS Overflow,4.3
CVE-2018-20572,Sql,7.5
CVE-2018-20571, +Info,5.0
CVE-2018-20570,,4.3
CVE-2018-20569,Sql Bypass,7.5
CVE-2018-20568,Sql Bypass,7.5
CVE-2018-20567,,5.0
CVE-2018-20566,Dir. Trav.,5.0
CVE-2018-20565,XSS,3.5
CVE-2018-20564,XSS,3.5
CVE-2018-20563,XSS,3.5
CVE-2018-20562,XSS,3.5
CVE-2018-20561,XSS,3.5
CVE-2018-20560,XSS,3.5
CVE-2018-20559,XSS,3.5
CVE-2018-20558,XSS,3.5
CVE-2018-20557,XSS,3.5
CVE-2018-20553,,6.8
CVE-2018-20552,,6.8
CVE-2018-20551,DoS,4.3
CVE-2018-20549,Overflow,6.8
CVE-2018-20548,Overflow,6.8
CVE-2018-20547,Overflow,5.8
CVE-2018-20546,,5.8
CVE-2018-20545,,6.8
CVE-2018-20544,,4.3
CVE-2018-20543,DoS,4.3
CVE-2018-20542,Overflow,6.8
CVE-2018-20541,Overflow,6.8
CVE-2018-20540,,4.3
CVE-2018-20539,DoS,4.3
CVE-2018-20538,DoS,4.3
CVE-2018-20537,DoS,4.3
CVE-2018-20536,DoS,4.3
CVE-2018-20535,DoS,4.3
CVE-2018-20534,DoS Overflow,4.3
CVE-2018-20533,DoS,4.3
CVE-2018-20532,DoS,4.3
CVE-2018-20530,XSS,3.5
CVE-2018-20528,,4.0
CVE-2018-20524,XSS,4.3
CVE-2018-20520,XSS,4.3
CVE-2018-20519,,5.5
CVE-2018-20511, +Info,2.1
CVE-2018-20508,Sql,7.5
CVE-2018-20502,,4.3
CVE-2018-20486,XSS,4.3
CVE-2018-20485,XSS,4.3
CVE-2018-20484,XSS,4.3
CVE-2018-20483, +Info,2.1
CVE-2018-20482,DoS,1.9
CVE-2018-20481,DoS,4.3
CVE-2018-20480,Sql,7.5
CVE-2018-20479,Sql,7.5
CVE-2018-20478, +Info,5.0
CVE-2018-20477,Sql,7.5
CVE-2018-20476,XSS,4.3
CVE-2018-20467,DoS,4.3
CVE-2018-20465,,4.0
CVE-2018-20464,XSS,4.3
CVE-2018-20463,Dir. Trav.,5.0
CVE-2018-20462,XSS,4.3
CVE-2018-20461,,4.3
CVE-2018-20460,Overflow,4.3
CVE-2018-20459,,4.3
CVE-2018-20458,,4.3
CVE-2018-20457,,4.3
CVE-2018-20456,DoS,4.3
CVE-2018-20455,DoS Overflow,4.3
CVE-2018-20454,XSS,4.3
CVE-2018-20453,DoS,4.3
CVE-2018-20452,DoS Overflow,6.8
CVE-2018-20451,DoS,4.3
CVE-2018-20450,DoS,4.3
CVE-2018-20448,XSS,3.5
CVE-2018-20445,,5.0
