CVE ID,Vulnerability Type(s),Score
CVE-2018-20058,Dir. Trav.,5.0
CVE-2018-20057,Exec Code,9.0
CVE-2018-20056,Exec Code Overflow,7.5
CVE-2018-20051,DoS,7.8
CVE-2018-20050,DoS,7.8
CVE-2018-20029,DoS,4.9
CVE-2018-20027,,7.5
CVE-2018-20024,,5.0
CVE-2018-20023,Bypass +Info,5.0
CVE-2018-20022,Bypass +Info,5.0
CVE-2018-20021,,7.8
CVE-2018-20020,Exec Code,7.5
CVE-2018-20019,Exec Code,7.5
CVE-2018-20018,Sql,5.0
CVE-2018-20017,XSS,3.5
CVE-2018-20015,CSRF,6.8
CVE-2018-20012,XSS,3.5
CVE-2018-20011,XSS,3.5
CVE-2018-20010,XSS,3.5
CVE-2018-20009,XSS,3.5
CVE-2018-20006,XSS,4.3
CVE-2018-20005,,4.3
CVE-2018-20004,Overflow,6.8
CVE-2018-20002,DoS,4.3
CVE-2018-20001,DoS,4.3
CVE-2018-20000,,5.0
CVE-2018-19991,Bypass,7.5
CVE-2018-19983,,6.1
CVE-2018-19982,,2.9
CVE-2018-19980,DoS,7.8
CVE-2018-19976,#NAME?,4.3
CVE-2018-19975,,7.1
CVE-2018-19974,,4.3
CVE-2018-19970,XSS,4.3
CVE-2018-19969,CSRF,6.8
CVE-2018-19968,#NAME?,4.0
CVE-2018-19967,DoS,4.9
CVE-2018-19966,DoS +Priv,7.2
CVE-2018-19965,DoS,4.7
CVE-2018-19964,DoS,4.9
CVE-2018-19963,DoS +Priv,6.9
CVE-2018-19962,#NAME?,6.9
CVE-2018-19961,#NAME?,6.9
CVE-2018-19960,#NAME?,4.4
CVE-2018-19939,,5.0
CVE-2018-19937,Bypass,4.6
CVE-2018-19936,,5.5
CVE-2018-19935,DoS,5.0
CVE-2018-19933,XSS,4.3
CVE-2018-19932,Overflow,4.3
CVE-2018-19931,Overflow,6.8
CVE-2018-19927,XSS,3.5
CVE-2018-19926,XSS,4.3
CVE-2018-19925,Sql,7.5
CVE-2018-19924,XSS,4.3
CVE-2018-19923,CSRF,6.8
CVE-2018-19922,XSS,4.3
CVE-2018-19921,XSS,4.3
CVE-2018-19919,XSS,3.5
CVE-2018-19918,XSS,3.5
CVE-2018-19915,XSS,3.5
CVE-2018-19914,XSS,3.5
CVE-2018-19913,XSS,3.5
CVE-2018-19911,Exec Code CSRF,7.6
CVE-2018-19908,Exec Code,9.0
CVE-2018-19907,Exec Code,6.5
CVE-2018-19906,XSS,3.5
CVE-2018-19905,XSS,3.5
CVE-2018-19904,XSS,4.3
CVE-2018-19903,XSS,4.3
CVE-2018-19902,XSS,3.5
CVE-2018-19901,XSS,3.5
CVE-2018-19898,Sql,6.5
CVE-2018-19897,Sql,6.5
CVE-2018-19896,Sql,6.5
CVE-2018-19895,Sql,6.5
CVE-2018-19894,Sql,6.5
CVE-2018-19893,Sql,7.5
CVE-2018-19892,XSS,3.5
CVE-2018-19891,DoS Overflow,4.3
CVE-2018-19890,DoS Overflow,4.3
CVE-2018-19889,DoS Overflow,4.3
CVE-2018-19888,DoS Overflow,4.3
CVE-2018-19887,DoS Overflow,4.3
CVE-2018-19886,DoS Overflow,4.3
CVE-2018-19882,DoS,4.3
CVE-2018-19881,DoS,4.3
CVE-2018-19877,XSS,4.3
CVE-2018-19876,,4.3
CVE-2018-19873,Overflow,7.5
CVE-2018-19871,,4.3
CVE-2018-19870,,6.8
CVE-2018-19869,,4.3
CVE-2018-19865,,5.0
CVE-2018-19864,DoS Exec Code Overflow,10.0
CVE-2018-19863,,2.1
CVE-2018-19859,Dir. Trav.,4.0
CVE-2018-19857,DoS,6.4
CVE-2018-19854,#NAME?,1.9
CVE-2018-19853,,6.5
CVE-2018-19849,XSS,3.5
CVE-2018-19845,XSS,3.5
CVE-2018-19844,XSS,3.5
CVE-2018-19843,DoS,4.3
CVE-2018-19842,DoS,4.3
CVE-2018-19841,,4.3
CVE-2018-19840,,4.3
CVE-2018-19839,,4.3
CVE-2018-19838,,4.3
CVE-2018-19837,,4.3
CVE-2018-19836,XSS Bypass,4.3
CVE-2018-19835,XSS,4.3
CVE-2018-19829,CSRF,5.8
CVE-2018-19828,XSS,4.3
CVE-2018-19827,DoS,6.8
CVE-2018-19826,DoS,4.3
CVE-2018-19824,,4.6
CVE-2018-19822,XSS,4.3
CVE-2018-19821,XSS,4.3
CVE-2018-19820,XSS,4.3
CVE-2018-19819,XSS,4.3
CVE-2018-19818,XSS,4.3
CVE-2018-19817,XSS,4.3
CVE-2018-19816,XSS,4.3
CVE-2018-19815,XSS,4.3
CVE-2018-19814,XSS,4.3
CVE-2018-19813,XSS,4.3
CVE-2018-19812,XSS,4.3
CVE-2018-19811,XSS,4.3
CVE-2018-19810,XSS,4.3
CVE-2018-19809,XSS,4.3
CVE-2018-19799,XSS,4.3
CVE-2018-19797,DoS,4.3
CVE-2018-19796,,5.8
CVE-2018-19795,,7.2
CVE-2018-19794,XSS,4.3
CVE-2018-19793,Exec Code,6.5
CVE-2018-19792,DoS Overflow,4.6
CVE-2018-19791,,4.0
CVE-2018-19790,,5.8
CVE-2018-19789,Exec Code File Inclusion,5.0
CVE-2018-19788,Exec Code,9.0
CVE-2018-19787,XSS,4.3
CVE-2018-19786,,4.3
CVE-2018-19785,XSS,4.3
CVE-2018-19784,File Inclusion,5.0
CVE-2018-19777,,4.3
CVE-2018-19775,XSS,4.3
CVE-2018-19774,XSS,4.3
CVE-2018-19773,XSS,4.3
CVE-2018-19772,XSS,4.3
CVE-2018-19771,XSS,4.3
CVE-2018-19770,XSS,4.3
CVE-2018-19769,XSS,4.3
CVE-2018-19768,XSS,4.3
CVE-2018-19767,XSS,4.3
CVE-2018-19766,XSS,4.3
CVE-2018-19765,XSS,4.3
CVE-2018-19763,DoS,4.3
CVE-2018-19762,DoS Overflow,6.8
CVE-2018-19761,DoS,4.3
CVE-2018-19760,,6.8
CVE-2018-19759,DoS,4.3
CVE-2018-19758,DoS,4.3
CVE-2018-19757,DoS,4.3
CVE-2018-19756,DoS,4.3
CVE-2018-19755,DoS,4.3
CVE-2018-19754,Bypass,6.5
CVE-2018-19753,Dir. Trav.,5.0
CVE-2018-19752,XSS,3.5
CVE-2018-19751,XSS,3.5
CVE-2018-19750,XSS,3.5
CVE-2018-19749,XSS,3.5
CVE-2018-19748,Dir. Trav.,5.0
CVE-2018-19693,XSS,4.3
CVE-2018-19692,Exec Code,7.5
CVE-2018-19666,Dir. Trav.,7.2
CVE-2018-19665,Mem. Corr.,2.7
CVE-2018-19664,,4.3
CVE-2018-19662,DoS,5.8
CVE-2018-19661,DoS,4.3
CVE-2018-19660,,9.0
CVE-2018-19659,,9.0
CVE-2018-19655,Overflow,6.8
CVE-2018-19654,,5.0
CVE-2018-19653,,4.3
CVE-2018-19651,,4.0
CVE-2018-19650,DoS Exec Code Overflow,7.2
CVE-2018-19649,XSS,4.3
CVE-2018-19646,Exec Code,10.0
CVE-2018-19630,XSS,4.3
CVE-2018-19628,,5.0
CVE-2018-19627,,5.0
CVE-2018-19626,,4.3
CVE-2018-19625,,4.3
CVE-2018-19624,,4.3
CVE-2018-19623,,5.0
CVE-2018-19622,Overflow,5.0
CVE-2018-19621,CSRF,4.3
CVE-2018-19620,,4.0
CVE-2018-19616,,6.8
CVE-2018-19615,XSS,4.3
CVE-2018-19609,#NAME?,4.0
CVE-2018-19608,,1.9
CVE-2018-19607,DoS,4.3
CVE-2018-19598,XSS,3.5
CVE-2018-19597,XSS,3.5
CVE-2018-19596,XSS,3.5
CVE-2018-19595,Exec Code,7.5
CVE-2018-19591,,5.0
CVE-2018-19587,Overflow,4.3
CVE-2018-19568,Overflow,4.3
CVE-2018-19567,Overflow,4.3
CVE-2018-19566,#NAME?,5.8
CVE-2018-19565,#NAME?,5.8
CVE-2018-19564,XSS,4.3
CVE-2018-19562,Exec Code,6.8
CVE-2018-19561,CSRF,6.8
CVE-2018-19560,CSRF,9.3
CVE-2018-19559,Sql,7.5
CVE-2018-19558,Sql,7.5
CVE-2018-19557,Sql,7.5
CVE-2018-19556,,4.3
CVE-2018-19555,CSRF,6.8
CVE-2018-19554,XSS,3.5
CVE-2018-19553,Sql,6.5
CVE-2018-19552,Sql,6.5
CVE-2018-19551,Sql,6.5
CVE-2018-19550,,6.5
CVE-2018-19549,Sql,6.5
CVE-2018-19548,,5.0
CVE-2018-19547,XSS,4.3
CVE-2018-19546,XSS CSRF,6.8
CVE-2018-19545,CSRF,6.8
CVE-2018-19544,CSRF,4.3
CVE-2018-19543,,6.8
CVE-2018-19542,DoS,4.3
CVE-2018-19541,,6.8
CVE-2018-19540,Overflow,6.8
CVE-2018-19539,DoS,4.3
CVE-2018-19537,Exec Code,9.0
CVE-2018-19535,DoS,4.3
CVE-2018-19532,DoS,6.8
CVE-2018-19531,Exec Code,7.5
CVE-2018-19530,Exec Code,7.5
CVE-2018-19528,DoS Overflow,10.0
CVE-2018-19527,XSS,4.3
CVE-2018-19522,,2.1
CVE-2018-19520,Exec Code,6.5
CVE-2018-19519,,4.3
CVE-2018-19518,Exec Code,8.5
CVE-2018-19517,,4.3
CVE-2018-19508,XSS,3.5
CVE-2018-19507,XSS,3.5
CVE-2018-19506,XSS,3.5
CVE-2018-19504,,6.8
CVE-2018-19503,Overflow,6.8
CVE-2018-19502,Overflow,6.8
CVE-2018-19499,Exec Code,6.5
CVE-2018-19497,DoS,4.3
CVE-2018-19492,Overflow,6.8
CVE-2018-19491,Overflow,6.8
CVE-2018-19490,Overflow,6.8
CVE-2018-19489,DoS,1.9
CVE-2018-19486,Exec Code,7.5
CVE-2018-19477,Bypass,6.8
CVE-2018-19476,Bypass,6.8
CVE-2018-19475,Bypass,6.8
CVE-2018-19469,XSS,4.3
CVE-2018-19468,Sql,7.5
CVE-2018-19464,XSS,3.5
CVE-2018-19463,Exec Code,6.5
CVE-2018-19459,Overflow,6.8
CVE-2018-19458,,5.0
CVE-2018-19457,Exec Code,6.5
CVE-2018-19443,,4.3
CVE-2018-19439,XSS,4.3
CVE-2018-19437,,4.0
CVE-2018-19436,Sql,6.5
CVE-2018-19435,Sql,6.5
CVE-2018-19434,Sql,6.5
CVE-2018-19433,XSS,4.3
CVE-2018-19432,DoS,4.3
CVE-2018-19424,,6.5
CVE-2018-19423,Exec Code,6.5
CVE-2018-19422,Exec Code,6.5
CVE-2018-19421,,4.0
CVE-2018-19420,,4.0
CVE-2018-19417,Exec Code Overflow,10.0
CVE-2018-19416,,6.8
CVE-2018-19413,#NAME?,4.0
CVE-2018-19411,,6.5
CVE-2018-19410,File Inclusion,7.5
CVE-2018-19409,,7.5
CVE-2018-19407,DoS,4.9
CVE-2018-19406,DoS,4.9
CVE-2018-19404,Exec Code,6.5
CVE-2018-19396,DoS,5.0
CVE-2018-19395,DoS,5.0
CVE-2018-19390,DoS,4.3
CVE-2018-19389,DoS,4.3
CVE-2018-19388,DoS,4.3
CVE-2018-19387,DoS,0.0
CVE-2018-19376,CSRF,5.8
CVE-2018-19370,Exec Code,6.0
CVE-2018-19367,,5.0
CVE-2018-19364,,2.1
CVE-2018-19358,,2.1
CVE-2018-19357,DoS Exec Code Overflow,6.8
CVE-2018-19355,Exec Code,7.5
CVE-2018-19353,DoS,4.3
CVE-2018-19352,XSS,4.3
CVE-2018-19351,XSS,4.3
CVE-2018-19350,XSS,3.5
CVE-2018-19349,Sql,6.5
CVE-2018-19348,DoS +Info,5.8
CVE-2018-19347,DoS +Info,5.8
CVE-2018-19346,DoS +Info,5.8
CVE-2018-19345,DoS +Info,5.8
CVE-2018-19344,DoS +Info,5.8
CVE-2018-19343,DoS +Info,5.8
CVE-2018-19342,DoS +Info,5.8
CVE-2018-19341,DoS +Info,5.8
CVE-2018-19340,XSS,4.3
CVE-2018-19335,#NAME?,2.6
CVE-2018-19334,#NAME?,4.3
CVE-2018-19333,,7.5
CVE-2018-19332,CSRF,6.8
CVE-2018-19331,Sql,5.0
CVE-2018-19329,Dir. Trav.,5.5
CVE-2018-19328,Dir. Trav.,7.5
CVE-2018-19327,CSRF,6.8
CVE-2018-19326,Dir. Trav.,5.0
CVE-2018-19324,XSS,3.5
CVE-2018-19323,,9.0
CVE-2018-19322,,4.6
CVE-2018-19321,,7.2
CVE-2018-19320,,7.2
CVE-2018-19319,CSRF,4.3
CVE-2018-19318,CSRF,6.8
CVE-2018-19312,Sql,6.5
CVE-2018-19311,XSS,3.5
CVE-2018-19301,XSS,4.3
CVE-2018-19296,,6.8
CVE-2018-19295,,7.2
CVE-2018-19291,CSRF,5.8
CVE-2018-19290,DoS,7.5
CVE-2018-19289,XSS,4.3
CVE-2018-19288,XSS,4.3
CVE-2018-19287,XSS,4.3
CVE-2018-19286,XSS,4.3
CVE-2018-19281,Sql,7.5
CVE-2018-19280,XSS,4.3
CVE-2018-19279,,2.1
CVE-2018-19278,Overflow,5.0
CVE-2018-19277,Bypass,6.8
CVE-2018-19274,Exec Code,6.5
CVE-2018-19271,Sql,6.5
CVE-2018-19248,,6.4
CVE-2018-19246,#NAME?,5.0
CVE-2018-19244,#NAME?,5.0
CVE-2018-19242,Overflow,6.5
CVE-2018-19241,Overflow,5.0
CVE-2018-19240,Overflow,7.5
CVE-2018-19239,Exec Code,9.0
CVE-2018-19234,Exec Code,9.0
CVE-2018-19233,Exec Code,2.1
CVE-2018-19232,DoS,5.0
CVE-2018-19229,XSS,3.5
CVE-2018-19228,Dir. Trav.,6.4
CVE-2018-19227,XSS,3.5
CVE-2018-19226,#NAME?,5.0
CVE-2018-19225,CSRF,6.8
CVE-2018-19224,,5.0
CVE-2018-19223,XSS,3.5
CVE-2018-19222,XSS,7.5
CVE-2018-19221,Sql,7.5
CVE-2018-19220,Exec Code,7.5
CVE-2018-19219,Overflow,4.3
CVE-2018-19218,,4.3
CVE-2018-19217,DoS,4.3
CVE-2018-19216,,6.8
CVE-2018-19215,,6.8
CVE-2018-19214,,6.8
CVE-2018-19213,,4.3
CVE-2018-19212,,4.3
CVE-2018-19211,DoS,4.3
CVE-2018-19210,DoS,4.3
CVE-2018-19209,,4.3
CVE-2018-19208,DoS,4.3
CVE-2018-19207,Exec Code,7.5
CVE-2018-19206,XSS,4.3
CVE-2018-19205,#NAME?,5.0
CVE-2018-19204,Exec Code,9.0
CVE-2018-19203,,5.0
CVE-2018-19200,,5.0
CVE-2018-19199,Overflow,7.5
CVE-2018-19198,,7.5
CVE-2018-19197,Dir. Trav.,5.5
CVE-2018-19196,Exec Code Bypass,7.5
CVE-2018-19195,XSS,4.3
CVE-2018-19194,#NAME?,5.0
CVE-2018-19193,XSS,4.3
CVE-2018-19192,CSRF,6.8
CVE-2018-19190,XSS,4.3
CVE-2018-19189,XSS,4.3
CVE-2018-19188,XSS,4.3
CVE-2018-19187,XSS,4.3
CVE-2018-19186,XSS,4.3
CVE-2018-19185,Overflow,7.5
CVE-2018-19184,DoS,5.0
CVE-2018-19183,DoS Overflow,5.0
CVE-2018-19182,CSRF,6.8
CVE-2018-19181,Dir. Trav.,6.4
CVE-2018-19180,Exec Code,7.5
CVE-2018-19178,XSS,3.5
CVE-2018-19170,XSS,3.5
CVE-2018-19168,Exec Code,10.0
CVE-2018-19150,DoS Overflow Mem. Corr.,6.8
CVE-2018-19149,,4.3
CVE-2018-19148,#NAME?,4.3
CVE-2018-19145,XSS,4.3
CVE-2018-19143,,5.5
CVE-2018-19142,XSS,3.5
CVE-2018-19141,XSS,3.5
CVE-2018-19139,,4.3
CVE-2018-19138,CSRF,6.8
CVE-2018-19137,XSS,4.3
CVE-2018-19136,XSS,4.3
CVE-2018-19135,CSRF,6.8
CVE-2018-19134,Exec Code,6.8
CVE-2018-19133,#NAME?,5.0
CVE-2018-19132,DoS,4.3
CVE-2018-19131,XSS,4.3
CVE-2018-19130,Overflow,4.3
CVE-2018-19129,,4.3
CVE-2018-19128,,4.3
CVE-2018-19127,Exec Code,7.5
CVE-2018-19126,Exec Code,7.5
CVE-2018-19125,,6.4
CVE-2018-19124,Dir. Trav.,5.0
CVE-2018-19122,,4.3
CVE-2018-19121,,4.3
CVE-2018-19120,#NAME?,5.0
CVE-2018-19118,DoS Overflow,5.0
CVE-2018-19115,Overflow,7.5
CVE-2018-19114,#NAME?,6.5
CVE-2018-19111,,5.0
CVE-2018-19110,Bypass,4.0
CVE-2018-19109,Bypass,6.5
CVE-2018-19108,DoS Overflow,4.3
CVE-2018-19107,DoS Overflow,4.3
CVE-2018-19105,DoS,6.8
CVE-2018-19104,CSRF,6.8
CVE-2018-19093,,5.0
CVE-2018-19092,XSS,4.3
CVE-2018-19091,XSS,3.5
CVE-2018-19090,XSS,3.5
CVE-2018-19089,XSS,3.5
CVE-2018-19087,DoS Exec Code Overflow,7.2
CVE-2018-19086,DoS Exec Code Overflow,7.2
CVE-2018-19085,DoS Exec Code Overflow,7.2
CVE-2018-19084,DoS Exec Code Overflow,7.2
CVE-2018-19083,XSS,4.3
CVE-2018-19082,Overflow,7.5
CVE-2018-19081,Exec Code,10.0
CVE-2018-19080,XSS,4.3
CVE-2018-19079,,7.8
CVE-2018-19078,,5.0
CVE-2018-19077,DoS,7.8
CVE-2018-19076,,5.0
CVE-2018-19075,#NAME?,5.0
CVE-2018-19074,,5.0
CVE-2018-19073,Exec Code,9.0
CVE-2018-19072,,3.6
CVE-2018-19071,Exec Code,4.6
CVE-2018-19070,Exec Code,9.0
CVE-2018-19069,,10.0
CVE-2018-19068,,4.0
CVE-2018-19067,,10.0
CVE-2018-19066,,5.0
CVE-2018-19065,,5.0
CVE-2018-19064,,10.0
CVE-2018-19063,,10.0
CVE-2018-19061,Sql,7.5
CVE-2018-19060,DoS,4.3
CVE-2018-19059,DoS,4.3
CVE-2018-19058,DoS,4.3
CVE-2018-19057,XSS,4.3
CVE-2018-19056,XSS,4.3
CVE-2018-19053,Exec Code,6.5
CVE-2018-19052,Dir. Trav.,5.0
CVE-2018-19051,XSS,4.3
CVE-2018-19050,XSS,4.3
CVE-2018-19047,,7.5
CVE-2018-19046,#NAME?,1.9
CVE-2018-19045,#NAME?,5.0
CVE-2018-19044,,3.3
CVE-2018-19039,#NAME?,4.0
CVE-2018-19036,Exec Code Overflow,10.0
CVE-2018-19007,,10.0
CVE-2018-19005,Exec Code,6.8
CVE-2018-19003,Dir. Trav.,5.0
CVE-2018-19001,,4.6
CVE-2018-18999,Overflow,7.5
CVE-2018-18993,Exec Code Overflow,6.8
CVE-2018-18991,XSS,4.3
CVE-2018-18989,Exec Code,6.8
CVE-2018-18987,Exec Code,6.8
CVE-2018-18984,,2.1
CVE-2018-18983,Exec Code Overflow,6.8
CVE-2018-18982,Exec Code Sql,6.5
CVE-2018-18980,,5.0
CVE-2018-18966,,4.0
CVE-2018-18965,,4.0
CVE-2018-18964,,4.0
CVE-2018-18963,Sql,7.5
CVE-2018-18960,,4.3
CVE-2018-18959,Overflow,5.0
CVE-2018-18957,Overflow,7.5
CVE-2018-18956,DoS Overflow,5.0
CVE-2018-18955,Bypass,4.4
CVE-2018-18954,,2.1
CVE-2018-18952,XSS,3.5
CVE-2018-18950,Dir. Trav.,5.0
CVE-2018-18949,Sql,7.5
CVE-2018-18943,XSS,3.5
CVE-2018-18942,Exec Code,6.5
CVE-2018-18939,XSS,3.5
CVE-2018-18938,XSS,3.5
CVE-2018-18937,,5.0
CVE-2018-18936,Dir. Trav.,6.4
CVE-2018-18935,CSRF,6.8
CVE-2018-18934,Exec Code CSRF,7.5
CVE-2018-18933,DoS +Info,6.4
CVE-2018-18928,Overflow,7.5
CVE-2018-18927,XSS,3.5
CVE-2018-18926,Exec Code,7.5
CVE-2018-18925,Exec Code,7.5
CVE-2018-18924,Exec Code,6.5
CVE-2018-18923,Sql,7.5
CVE-2018-18922,,5.0
CVE-2018-18921,CSRF,5.8
CVE-2018-18920,Exec Code Overflow,6.8
CVE-2018-18919,XSS,3.5
CVE-2018-18915,DoS,4.3
CVE-2018-18909,XSS,4.3
CVE-2018-18903,Exec Code,7.5
CVE-2018-18897,,4.3
CVE-2018-18892,Exec Code,7.5
CVE-2018-18891,,6.4
CVE-2018-18890,Dir. Trav.,5.0
CVE-2018-18888,,7.5
CVE-2018-18887,Sql,7.5
CVE-2018-18883,DoS,7.2
CVE-2018-18874,Exec Code,7.5
CVE-2018-18873,,4.3
CVE-2018-18871,,5.0
CVE-2018-18869,Exec Code Dir. Trav.,7.5
CVE-2018-18868,XSS,4.3
CVE-2018-18867,,5.0
CVE-2018-18865,#NAME?,4.3
CVE-2018-18864,XSS,9.3
CVE-2018-18861,Exec Code Overflow,7.5
CVE-2018-18860,,7.2
CVE-2018-18859,Exec Code,7.2
CVE-2018-18858,Exec Code,7.2
CVE-2018-18857,Exec Code,7.2
CVE-2018-18856,Exec Code,7.2
CVE-2018-18854,DoS,5.0
CVE-2018-18853,DoS,5.0
CVE-2018-18850,Exec Code,9.0
CVE-2018-18843,,7.5
CVE-2018-18842,Exec Code CSRF,6.8
CVE-2018-18841,XSS,3.5
CVE-2018-18840,XSS,3.5
CVE-2018-18835,Exec Code,7.5
CVE-2018-18834,Overflow,7.5
CVE-2018-18832,Sql,7.5
CVE-2018-18831,Dir. Trav.,5.0
CVE-2018-18830,Exec Code,7.5
CVE-2018-18829,,4.3
CVE-2018-18828,Overflow,4.3
CVE-2018-18827,,4.3
CVE-2018-18826,Overflow,4.3
CVE-2018-18825,XSS,4.3
CVE-2018-18822,Sql,7.5
CVE-2018-18820,DoS Exec Code Overflow,6.8
CVE-2018-18817,,5.0
CVE-2018-18810,#NAME?,4.0
CVE-2018-18807,XSS,3.5
CVE-2018-18806,Sql,7.5
CVE-2018-18805,Sql,7.5
CVE-2018-18804,Sql,7.5
CVE-2018-18803,Sql,7.5
CVE-2018-18801,Sql,7.5
CVE-2018-18799,CSRF,6.8
CVE-2018-18797,CSRF,6.8
CVE-2018-18796,Sql,7.5
CVE-2018-18795,Sql,7.5
CVE-2018-18794,CSRF,6.8
CVE-2018-18793,,7.5
CVE-2018-18792,Sql,7.5
CVE-2018-18791,Sql,7.5
CVE-2018-18790,Sql,6.5
CVE-2018-18789,Sql,7.5
CVE-2018-18788,Sql,6.5
CVE-2018-18787,Sql,7.5
CVE-2018-18786,Sql,7.5
CVE-2018-18785,Sql,7.5
CVE-2018-18784,Sql,6.5
CVE-2018-18783,XSS,4.3
CVE-2018-18782,XSS,4.3
CVE-2018-18781,XSS,4.3
CVE-2018-18778,#NAME?,4.0
CVE-2018-18777,Dir. Trav. Bypass,4.0
CVE-2018-18776,XSS,4.3
CVE-2018-18775,XSS,4.3
CVE-2018-18774,XSS,4.3
CVE-2018-18773,CSRF,6.8
CVE-2018-18772,CSRF,6.8
CVE-2018-18771,,5.0
CVE-2018-18767,,1.9
CVE-2018-18765,DoS,6.4
CVE-2018-18764,DoS,6.4
CVE-2018-18763,Sql,7.5
CVE-2018-18761,Sql,7.5
CVE-2018-18760,CSRF,4.3
CVE-2018-18759,Overflow,5.0
CVE-2018-18756,Overflow,5.0
CVE-2018-18755,Sql,7.5
CVE-2018-18754,,5.0
CVE-2018-18753,,10.0
CVE-2018-18752,,7.5
CVE-2018-18751,,7.5
CVE-2018-18749,Overflow,4.3
CVE-2018-18748,,10.0
CVE-2018-18745,XSS,3.5
CVE-2018-18744,XSS,3.5
CVE-2018-18743,XSS,3.5
CVE-2018-18742,CSRF,6.8
CVE-2018-18741,XSS,3.5
CVE-2018-18740,XSS,3.5
CVE-2018-18739,XSS,3.5
CVE-2018-18738,XSS,3.5
CVE-2018-18737,,5.0
CVE-2018-18736,XSS,3.5
CVE-2018-18735,CSRF,6.8
CVE-2018-18734,CSRF,6.8
CVE-2018-18733,XSS,3.5
CVE-2018-18732,Overflow,7.8
CVE-2018-18731,Overflow,7.8
CVE-2018-18730,Overflow,7.8
CVE-2018-18729,Overflow +Info,9.0
CVE-2018-18728,Exec Code,7.5
CVE-2018-18727,Overflow,7.8
CVE-2018-18726,XSS,3.5
CVE-2018-18725,XSS,3.5
CVE-2018-18724,XSS,3.5
CVE-2018-18723,XSS,3.5
CVE-2018-18722,XSS,3.5
CVE-2018-18721,XSS,3.5
CVE-2018-18720,XSS,3.5
CVE-2018-18718,,4.6
CVE-2018-18717,XSS,3.5
CVE-2018-18716,XSS,4.3
CVE-2018-18715,XSS,4.3
CVE-2018-18714,DoS Exec Code Overflow,7.2
CVE-2018-18713,Dir. Trav.,5.0
CVE-2018-18712,CSRF,6.8
CVE-2018-18711,CSRF,6.8
CVE-2018-18710,#NAME?,2.1
CVE-2018-18709,Overflow,7.8
CVE-2018-18708,Overflow,7.8
CVE-2018-18707,Overflow,7.8
CVE-2018-18706,Overflow,7.8
CVE-2018-18705,Sql,7.5
CVE-2018-18704,Sql,7.5
CVE-2018-18703,Dir. Trav. Bypass,5.0
CVE-2018-18702,Sql,7.5
CVE-2018-18701,,4.3
CVE-2018-18700,,4.3
CVE-2018-18699,,6.8
CVE-2018-18698,,5.0
CVE-2018-18696,CSRF,6.8
CVE-2018-18695,Overflow,4.6
CVE-2018-18694,XSS,3.5
CVE-2018-18690,,4.9
CVE-2018-18667,Overflow,5.0
CVE-2018-18666,Overflow,5.0
CVE-2018-18665,Overflow,5.0
CVE-2018-18662,,4.3
CVE-2018-18661,,4.3
CVE-2018-18660,XSS,4.3
CVE-2018-18659,,5.0
CVE-2018-18658,#NAME?,5.0
CVE-2018-18657,#NAME?,5.0
CVE-2018-18656,,2.1
CVE-2018-18655,#NAME?,4.3
CVE-2018-18654,,7.2
CVE-2018-18653,Exec Code Bypass,7.2
CVE-2018-18652,Exec Code,9.0
CVE-2018-18651,DoS,4.3
CVE-2018-18650,DoS Overflow,4.3
CVE-2018-18649,Exec Code,7.5
CVE-2018-18648,#NAME?,5.0
CVE-2018-18647,,5.5
CVE-2018-18646,,6.5
CVE-2018-18645,#NAME?,4.3
CVE-2018-18644,#NAME?,4.0
CVE-2018-18642,XSS,4.3
CVE-2018-18641,,5.0
CVE-2018-18640,#NAME?,4.0
CVE-2018-18638,Exec Code,9.3
CVE-2018-18636,XSS,4.3
CVE-2018-18635,XSS,4.3
CVE-2018-18629,#NAME?,7.2
CVE-2018-18628,Exec Code,10.0
CVE-2018-18626,,6.4
CVE-2018-18622,XSS,4.3
CVE-2018-18621,XSS,4.3
CVE-2018-18619,Sql,7.5
CVE-2018-18608,XSS,4.3
CVE-2018-18607,DoS,4.3
CVE-2018-18606,DoS,4.3
CVE-2018-18605,DoS,4.3
CVE-2018-18603,,4.3
CVE-2018-18602,,5.0
CVE-2018-18601,Overflow,6.8
CVE-2018-18600,,9.3
CVE-2018-18599,,6.8
CVE-2018-18593,Dir. Trav.,5.0
CVE-2018-18591,#NAME?,4.0
CVE-2018-18590,Exec Code +Info,5.8
CVE-2018-18589,Exec Code,6.5
CVE-2018-18587,,5.0
CVE-2018-18586,Dir. Trav.,5.0
CVE-2018-18585,,4.3
CVE-2018-18584,,4.3
CVE-2018-18583,Overflow,6.8
CVE-2018-18582,Overflow,6.8
CVE-2018-18581,,6.8
CVE-2018-18579,XSS,4.3
CVE-2018-18578,XSS,4.3
CVE-2018-18568,#NAME?,4.3
CVE-2018-18567,#NAME?,4.3
CVE-2018-18566,#NAME?,5.0
CVE-2018-18565,,4.1
CVE-2018-18564,,3.3
CVE-2018-18563,Exec Code,8.3
CVE-2018-18562,,3.3
CVE-2018-18561,Exec Code,7.7
CVE-2018-18559,,6.8
CVE-2018-18557,,6.8
CVE-2018-18556,,9.0
CVE-2018-18555,#NAME?,9.0
CVE-2018-18553,XSS,4.3
CVE-2018-18552,DoS Dir. Trav.,5.0
CVE-2018-18551,XSS,4.3
CVE-2018-18550,Sql,6.5
CVE-2018-18548,XSS,4.3
CVE-2018-18547,XSS,4.3
