Vul. Type,Avg. Score,# Of Entries
Exec Code,7.196813725,816
Sql,6.74213198,197
Mem. Corr.,6.648214286,56
Overflow,6.171428571,294
 +Priv,6.002352941,85
CSRF,5.868224299,107
Bypass,5.858555133,263
DoS,5.066666667,324
 +Info,4.470386266,233
XSS,4.001438849,695
